NO.,MA101,PH100, BE10105,BE110, BE103, EC100, PH110, EC110, CS110,CY100,BE100,EE100,CY110,EE110,MA102,BE102,CS100,CS120,CS202,IT202,IT204,HS200,MA202,CS208,IT232,IT234,CS305,IT301,IT303,IT305,IT307,IT341,IT331,IT333,IT367,IT363,HS300,CS304,IT304,IT306,IT364,IT302,IT332,IT334,IT352,IT366
53,7.0,8,9.0,7,8,6,10,10,10,6,7,8.0,10,10,8.0,8,7,10,6.0,6.0,8.0,6,10.0,8.0,10,10,7.0,8,7,8,6.0,10,10,10,,5.0,7,7.0,7,7,,7,10,10,7,7.0
54,7.0,7,6.0,7,8,7,10,10,10,7,5,8.0,10,10,7.0,8,7,10,6.0,0.0,6.0,6,10.0,6.0,8,10,7.0,7,6,7,6.0,10,10,10,6.0,,7,8.0,7,7,6.0,6,10,10,5,
55,6.0,5,5.0,7,6,6,10,10,10,0,5,6.0,10,10,5.0,7,6,10,6.0,0.0,6.0,6,8.0,6.0,10,9,6.0,6,7,6,6.0,10,10,10,,5.0,6,6.0,7,7,,5,10,9,6,5.0
56,10.0,10,7.0,9,6,6,10,10,10,7,6,9.0,10,10,9.0,7,7,10,7.0,7.0,7.0,7,10.0,7.0,10,9,8.0,9,5,6,6.0,10,9,10,8.0,,5,7.0,6,7,5.0,0,10,8,6,
57,8.0,8,7.0,9,7,7,10,10,10,6,6,10.0,10,10,9.0,9,7,10,8.0,7.0,9.0,9,10.0,8.0,10,9,9.0,10,8,9,7.0,10,10,10,10.0,,9,10.0,9,10,7.0,7,10,9,7,
58,5.0,6,5.0,7,6,0,10,10,8,5,6,7.0,10,10,8.0,9,5,7,6.0,0.0,6.0,6,6.0,0.0,10,9,7.0,7,6,6,5.0,10,8,8,,6.0,5,7.0,0,9,,0,10,8,6,7.0
59,0.0,5,5.0,6,7,0,10,9,9,0,0,0.0,10,6,5.0,6,0,10,0.0,0.0,0.0,0,5.0,5.0,10,7,7.0,7,6,6,0.0,10,10,9,6.0,,6,6.0,6,7,,6,9,8,6,5.0
60,5.0,6,0.0,7,6,5,10,10,9,0,0,5.0,10,10,7.0,7,5,5,5.0,5.0,5.0,5,7.0,7.0,10,8,7.0,7,5,6,5.0,10,7,9,7.0,,0,0.0,0,6,0.0,0,6,7,6,
61,6.0,4,0.0,0,5,0,9,7,8,4,0,0.0,10,7,7.0,6,0,7,0.0,0.0,0.0,0,6.0,0.0,7,6,6.0,7,5,5,0.0,10,7,7,6.0,,0,5.0,0,5,,0,6,6,5,0.0
62,0.0,0,5.0,7,6,5,7,9,8,5,0,0.0,10,10,5.0,7,5,6,0.0,0.0,0.0,0,5.0,0.0,7,7,0.0,0,5,5,0.0,10,7,7,0.0,,0,5.0,5,6,0.0,5,9,7,6,
